LGOIR-TOOL9910,POIGNEE DE DRILL,USINE,3,0,0,1,3,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08wgr5xs7he,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL7710,"HIGH CONTRAST SQUARE 7""/EQUERRE A HAUT CONTRASTE 7""",USINE,1,0,0,1,1,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08whnkja3j1,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-MISC1,"2"" X 75' WHITE VELCRO STRIPS HOOKS TAPE",ORGANIZATION,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,mnt08whxfskc2k,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-MISC2,BLACK STICKY BACK FASTENERS/ATTACHES AUTOCOLLANTES,ORGANIZATION,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,mnt08wi2d76y76,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-PACKING6,"ROULEAUX DE FILM DE POLYETHYLENE RENFORCE� 6 mil, 12 pi x 100 pi",CRATAGE,2,0,0,1,2,CRATAGE,XX,0,,ULINE,46086,,mnt08wjsb98ln0,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-BAK,CROCHET DE ALUMINIUM HORS ACUMATICA,ASSEMBLAGE,2,0,0,450,0.00444444,E1R,XX,0,,N/A,,,mnt08wk25d0dex,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-CLEANING,GUENILLES  DE LINGES,USINE,3,0,0,0,4,J,XX,0,,N/A,,,mnt08wkempwata,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-VCMC-124-12-NO,"VIS CMC NOIR 10-24 X 1/2""",CHANTIER,5,0,0,0,1,E5C,XX,0,,N/A,,,mnt08woami3s3l,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-PROTECTION16,RUBAN POUR MARCHES,USINE/SAFETY,2,0,0,0,2,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08wofs96sxh,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
FD-12S-18-MF-10/ 18-FDFF-112-18-SE,"CONNECTEUR VERTICAL MOLEX 10 SORTIES @ 12""",ELECTRIQUE,2,0,0,0,2,ARMOIRE ELECTRIQUE,XX,0,,N/A,,,mnt08wpdj6rpil,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL-SCIS-MET01,STRAIGHT CUT AVIATION SNIP/CISAILLE D'AVIATION-COUPE RECTILIGNE (WISS),USINE,2,0,0,0,2,ARMOIRE AVEC CLE T3,XX,0,,N/A,,,mnt08wq4adprzw,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL6610,"HIGH CONTRAST SQUARE 12""/EQUERRE A HAUT CONTRASTE 12""",USINE,1,0,0,0,1,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08wqag2fyf3,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-LITTLEPIECE,STRIPPER BLADES/LAMES A DECAPER,USINE,2,0,0,0,2,ARMOIRE AVEC CLE T1,XX,0,,N/A,,,mnt08wqggji0sv,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL5610,EQUERRE JOHNSON/SQUARE JOHNSON,USINE,1,0,0,0,1,ARMOIRE AVEC CLE,XX,0,,N/A,,,mnt08wqmzu27at,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-ANC152MACH,ANCRAGE DE LA MACHINE  (MAKO),USINE,1,0,0,0,1,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,0,,N/A,,,mnt08wtop75pw3,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-RLED-200-4K-03-SE,"RONDELLE LED  3""  4000K",ELECTRIQUE,1,0,0,0,0.02,ARMOIRE ELECTRIQUE,XX,0,,N/A,,,mnt08wuvyzftx4,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-CMCA-05S-10-05,"Extrusion 0 5/8"" - CMCA-05 - Standard 10,5' - Champagne",EXTRUSION,2,0,0,0,0.00666667,BIN 2,XX,0,,N/A,,,mnt08x5dh4yot6,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-CMCA-05X-12-04,"Extrusion 0 5/8"" - CMCA-05 - Coupe Interne SHOP 12"" - Gold",EXTRUSION,4,0,0,0,0.01333333,BIN 2,XX,0,,N/A,,,mnt08x5y6kbkhw,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-CMCA-30S-10-07,"Extrusion 45 DG - CMCA-30 - Standard 10,5' - Noir",EXTRUSION,4,0,0,0,0.01333333,BIN 2,XX,0,,N/A,,,mnt08xb55lwlzf,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-CMCA-40S-10-06,"Extrusion 1 1/4"" - CMCA-40 - Standard 10,5' - Satin Clair",EXTRUSION,4,0,0,0,0.01333333,BIN 2,XX,0,,N/A,,,mnt08xd8yxb6ij,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-CMCA-50S-10-07,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Noir",EXTRUSION,0.08,0,0,0,0.00026667,BIN 2,XX,0,,N/A,,,mnt08xfdy3q0cw,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-CMCA-50S-10-21,"Poteaux 0 7/16"" - CMCA-50 - Standard 10,5' - Marbletech White Marble",EXTRUSION,4,0,0,0,4,ARMOIRE AVEC CLE T2,XX,0,,N/A,,,mnt08xfwldqwb6,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-5005-410-1F-30,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/8"" - 1F - Bronze Antique",FEUILLES,2,0,0,0,0.04,BIN 1,XX,0,,N/A,,,mnt08xh5r7nmnn,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL45,HUSKY ROUND HEADED RACHET / CLE A DOUILLE A CLIQUET A TETE RONDE,ASSEMBLAGE,2,0,0,0,0.00666667,ARMOIRE AVEC CLE T4,XX,0,,N/A,,,mnt08xkrwnt9ks,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-FILL-410-1F-06,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/32"" - 1F - Satin Clair",FEUILLES,3,0,0,0,0.06,BIN 1,XX,0,,N/A,,,mnt08xm6q9y9k6,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-FILL-410-1F-07,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/32"" - 1F - Noir",FEUILLES,5,0,0,0,0.1,BIN 1,XX,0,,N/A,,,mnt08xmey215nl,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-FILL-410-2F-04,"Feuille Aluminium 5005 - 4,0' x 10,0' - 1/32"" - 2F - Gold",FEUILLES,4,0,0,0,0.08,BIN 1,XX,0,,N/A,,,mnt08xmle3p9pk,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-CMCA-01V-14-06,"Extrusion 1 1/2"" - CMCA-01 - Concave 14,5"" - Satin Clair",EXTRUSION,5,0,0,0,0.1,BIN 2,XX,0,,N/A,,,mnt08xqw48yyf6,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-REVCUTOOL123,CUT OFF TOOL/ OUTILS DE COUPE,USNIE,1,0,0,0,1,ARMOIRE AVEC CLE T3,XX,0,,N/A,,,mnt08xrz404vpx,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-TABC-BAC-24-02,"Tablette courbe THBAC 24 - 17 3/4"" X 23 1/16"" X 1/8"" - 1 face - Light bronze",ASSEMBLAGE,4,0,0,0,34,B8-PROD,XX,0,,N/A,,,mnt08xuzfu3tnn,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
18-5005-510-2F-03,"Feuille Aluminium 5005 - 5,0' x 10,0' - 1/8"" - 2F - Dark Bronze",FEUILLES,4,0,0,0,0.08,BIN 1,XX,0,,N/A,,,mnt08xvumgvhy8,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
